1 3599 3610 604 1190 10600 8160 3680 4080 3510 5869 2211
2 526.2 528 74.7 2260 2150 1660 3920 617 3770 986.1 302.6
3 161.4 162 21.3 788 749 614 1900 193 1840 332.3 90.32
4 76.36 77.9 8.68 360 347 939 956 82.8 922 151.8 37.78
5 39.31 40.3 4.37 193 190 847 553 42.6 533 683.8 19.12
6 22.7 23.4 2.53 115 116 529 351 24.6 338 432.4 10.95
7 14.21087 14.8 1.62 74.1 75.7 354 238 15.5 229 283 6.846
8 9.446 9.92 1.12 50.3 52.6 250 171 10.4 164 202.4 4.576
9 6.5724 6.99 0.831 35.7 277 183 126 7.29 122 148 3.225
10 4.742 5.12 0.647 26.2 216 138 96.9 5.33 238 110.7 2.373
11 3.52457 3.87 0.525 19.8 170 107 192 4.03 185 85.01 1.811
12 2.68563 3.01 0.442 15.3 136 84.7 211 3.13 235 66.81 1.426
13 2.09013 2.4 0.383 12.1 109 68.4 199 2.49 192 53.51 1.153
14 1.65661 1.95 0.339 9.74 89.4 56.1 165 2.02 159 43.52 0.9551
15 1.334 1.61 0.307 7.96 74.1 46.6 139 1.67 134 35.87 0.8074
16 1.08867 1.36 0.282 6.58 62.1 39.2 117 1.41 113 29.91 0.6952
17 0.89891 1.16 0.263 5.51 52.7 33.2 100 1.2 96.7 25.19 0.6084
18 0.75041 1 0.248 4.67 45.1 28.5 86.4 1.04 83.3 21.41 0.5402
19 0.63288 0.879 0.235 3.99 38.9 24.6 75.1 0.913 72.4 18.35 0.4858
20 0.5389 0.778 0.225 3.44 33.8 21.5 65.7 0.81 63.3 15.85 0.442
21 0.46251 0.696 0.217 2.99 29.6 18.8 57.8 0.725 55.7 13.79 0.4061
22 0.39956 0.628 0.21 2.62 26 16.6 51.1 0.656 49.3 12.07 0.3766
23 0.34741 0.571 0.204 2.31 23 14.7 45.5 0.598 43.8 10.63 0.3519
24 0.30396 0.524 0.199 2.05 20.4 13.1 40.7 0.549 39.2 9.408 0.3312
25 0.26757 0.484 0.194 1.84 18.2 11.7 36.6 0.508 35.2 8.371 0.3136
26 0.23691 0.45 0.191 1.65 16.3 10.6 33 0.473 31.8 7.482 0.2986
27 0.21095 0.42 0.187 1.49 14.7 9.56 29.9 0.443 28.8 6.716 0.2857
28 0.18885 0.395 0.184 1.35 13.2 8.67 27.2 0.418 26.2 6.053 0.2745
29 0.16995 0.373 0.182 1.23 12 7.9 24.8 0.395 23.9 5.476 0.2647
30 0.1537 0.354 0.179 1.13 10.9 41.2 22.7 0.376 21.9 4.971 0.2562
31 0.13955 0.337 0.177 1.04 9.95 38.3 20.8 0.358 20.1 4.528 0.2486
32 0.1271 0.322 0.175 0.958 9.1 35.5 19.2 0.343 18.4 4.138 0.2419
33 0.11614 0.309 0.173 0.887 8.35 32.9 17.7 0.33 17 3.792 0.236
34 0.10649 0.297 0.172 0.825 7.67 30.4 16.3 0.318 15.7 3.485 0.2306
35 0.098 0.287 0.17 0.77 7.07 28.2 15.1 0.307 14.6 3.212 0.2258
36 0.09051 0.278 0.169 0.72 6.53 26.1 14.1 0.298 13.5 2.967 0.2215
37 0.0839 0.269 0.167 0.676 6.05 24.1 13.1 0.289 12.6 2.748 0.2175
38 0.07806 0.262 0.166 0.636 5.61 22.4 12.2 0.282 11.7 2.551 0.2139
39 0.0729 0.255 0.165 0.601 5.22 20.8 11.4 0.275 11 2.373 0.2107
40 0.06833 0.248 0.164 0.568 4.86 19.4 10.7 0.268 10.3 2.213 0.2076
