1 3599 3610 604 1190 10600 8160 3680 4080 3510
2 526.2 528 74.7 2260 2150 1660 3920 617 3770
3 161.4 162 21.3 788 749 614 1900 193 1840
4 76.36 77.9 8.68 360 347 939 956 82.8 922
5 39.31 40.3 4.37 193 190 847 553 42.6 533
6 22.7 23.4 2.53 115 116 529 351 24.6 338
7 14.21087 14.8 1.62 74.1 75.7 354 238 15.5 229
8 9.446 9.92 1.12 50.3 52.6 250 171 10.4 164
9 6.5724 6.99 0.831 35.7 277 183 126 7.29 122
10 4.742 5.12 0.647 26.2 216 138 96.9 5.33 238
11 3.52457 3.87 0.525 19.8 170 107 192 4.03 185
12 2.68563 3.01 0.442 15.3 136 84.7 211 3.13 235
13 2.09013 2.4 0.383 12.1 109 68.4 199 2.49 192
14 1.65661 1.95 0.339 9.74 89.4 56.1 165 2.02 159
15 1.334 1.61 0.307 7.96 74.1 46.6 139 1.67 134
16 1.08867 1.36 0.282 6.58 62.1 39.2 117 1.41 113
17 0.89891 1.16 0.263 5.51 52.7 33.2 100 1.2 96.7
18 0.75041 1 0.248 4.67 45.1 28.5 86.4 1.04 83.3
19 0.63288 0.879 0.235 3.99 38.9 24.6 75.1 0.913 72.4
20 0.5389 0.778 0.225 3.44 33.8 21.5 65.7 0.81 63.3
21 0.46251 0.696 0.217 2.99 29.6 18.8 57.8 0.725 55.7
22 0.39956 0.628 0.21 2.62 26 16.6 51.1 0.656 49.3
23 0.34741 0.571 0.204 2.31 23 14.7 45.5 0.598 43.8
24 0.30396 0.524 0.199 2.05 20.4 13.1 40.7 0.549 39.2
25 0.26757 0.484 0.194 1.84 18.2 11.7 36.6 0.508 35.2
26 0.23691 0.45 0.191 1.65 16.3 10.6 33 0.473 31.8
27 0.21095 0.42 0.187 1.49 14.7 9.56 29.9 0.443 28.8
28 0.18885 0.395 0.184 1.35 13.2 8.67 27.2 0.418 26.2
29 0.16995 0.373 0.182 1.23 12 7.9 24.8 0.395 23.9
30 0.1537 0.354 0.179 1.13 10.9 41.2 22.7 0.376 21.9
31 0.13955 0.337 0.177 1.04 9.95 38.3 20.8 0.358 20.1
32 0.1271 0.322 0.175 0.958 9.1 35.5 19.2 0.343 18.4
33 0.11614 0.309 0.173 0.887 8.35 32.9 17.7 0.33 17
34 0.10649 0.297 0.172 0.825 7.67 30.4 16.3 0.318 15.7
35 0.098 0.287 0.17 0.77 7.07 28.2 15.1 0.307 14.6
36 0.09051 0.278 0.169 0.72 6.53 26.1 14.1 0.298 13.5
37 0.0839 0.269 0.167 0.676 6.05 24.1 13.1 0.289 12.6
38 0.07806 0.262 0.166 0.636 5.61 22.4 12.2 0.282 11.7
39 0.0729 0.255 0.165 0.601 5.22 20.8 11.4 0.275 11
40 0.06833 0.248 0.164 0.568 4.86 19.4 10.7 0.268 10.3
41 0.06423 0.243 0.163 0.539 4.54 18.2 10 0.262 9.61
42 0.0605 0.238 0.162 0.513 4.24 17 9.38 0.257 9.02
43 0.05711 0.233 0.161 0.489 3.97 16 8.82 0.252 8.48
44 0.05404 0.228 0.16 0.467 3.72 15 8.3 0.248 7.98
45 0.05127 0.224 0.159 0.447 3.5 14.1 7.83 0.244 7.53
46 0.04876 0.221 0.158 0.428 3.29 13.3 7.39 0.24 7.1
47 0.0465 0.217 0.158 0.411 3.1 12.6 6.99 0.236 6.72
48 0.04446 0.214 0.157 0.396 2.92 11.9 6.62 0.233 6.36
49 0.04262 0.211 0.156 0.381 2.76 11.3 6.27 0.23 6.03
50 0.04098 0.208 0.155 0.368 2.61 10.7 5.95 0.227 5.72
51 0.03947 0.205 0.155 0.356 2.47 10.2 5.65 0.224 5.43
52 0.03806 0.203 0.154 0.345 2.35 9.64 5.37 0.222 5.16
53 0.03675 0.201 0.153 0.334 2.23 9.16 5.11 0.219 4.91
54 0.03554 0.198 0.153 0.324 2.12 8.71 4.87 0.217 4.68
55 0.03443 0.196 0.152 0.315 2.01 8.3 4.64 0.215 4.46
56 0.03343 0.194 0.152 0.307 1.92 7.9 4.43 0.213 4.26
57 0.03253 0.192 0.151 0.299 1.83 7.54 4.24 0.211 4.07
58 0.03173 0.191 0.15 0.291 1.74 7.19 4.05 0.209 3.89
59 0.03102 0.189 0.15 0.284 1.67 6.87 3.88 0.208 3.73
60 0.03041 0.187 0.149 0.278 1.59 6.57 3.71 0.206 3.57
61 0.02986 0.186 0.149 0.272 1.52 6.28 3.56 0.204 3.42
62 0.02933 0.185 0.148 0.266 1.46 6.01 3.41 0.203 3.28
63 0.02882 0.183 0.148 0.261 1.4 5.76 3.28 0.201 3.15
64 0.02834 0.182 0.147 0.255 1.34 5.52 3.15 0.2 3.03
65 0.02789 0.181 0.147 0.251 1.29 5.29 3.03 0.199 2.91
66 0.02746 0.179 0.146 0.246 1.24 5.08 2.91 0.197 2.8
67 0.02705 0.178 0.146 0.242 1.19 4.88 2.8 0.196 2.69
68 0.02668 0.177 0.145 0.238 1.15 4.69 2.7 0.195 11.5
69 0.02633 0.176 0.145 0.234 1.1 4.51 2.6 0.194 11.1
70 0.026 0.175 0.144 0.23 1.06 4.33 11 0.193 10.7
71 0.0257 0.174 0.144 0.227 1.03 4.17 10.6 0.192 10.3
72 0.02542 0.173 0.143 0.223 0.991 4.02 10.3 0.191 9.95
73 0.02517 0.172 0.143 0.22 0.957 3.87 9.89 0.19 9.6
74 0.02494 0.171 0.143 0.217 0.925 3.73 9.55 0.189 9.27
75 0.02474 0.17 0.142 0.214 0.894 3.6 9.22 0.188 8.96
76 0.02456 0.169 0.142 0.212 0.865 3.48 8.91 0.187 8.66
77 0.0244 0.169 0.141 0.209 0.838 3.36 8.62 0.186 8.37
78 0.02427 0.168 0.141 0.206 0.812 3.24 8.33 0.185 8.1
79 0.02416 0.167 0.14 0.204 0.787 3.13 8.07 0.184 7.84
80 0.02407 0.166 0.14 0.202 0.763 3.03 7.81 0.184 7.59
81 0.024 0.166 0.14 0.2 0.74 2.93 7.56 0.183 7.35
82 0.02392 0.165 0.139 0.197 0.719 2.84 7.33 0.182 7.12
83 0.02385 0.164 0.139 0.195 0.698 2.74 7.11 0.181 6.91
84 0.02379 0.163 0.138 0.194 0.679 2.66 6.89 0.181 6.7
85 0.02372 0.163 0.138 0.192 0.66 2.58 6.69 0.18 6.5
86 0.02367 0.162 0.138 0.19 0.642 2.5 6.5 0.179 6.31
87 0.02361 0.161 0.137 0.188 0.625 2.42 6.31 0.179 6.13
88 0.02356 0.161 0.137 0.186 0.609 2.35 6.13 0.178 5.95
89 0.02351 0.16 0.137 0.185 0.593 2.28 5.96 0.177 5.78
90 0.02347 0.16 0.136 0.183 0.578 2.21 5.79 0.177 5.62
91 0.02343 0.159 0.136 0.182 0.564 2.15 5.63 0.176 5.47
92 0.02339 0.158 0.136 0.18 0.55 2.09 5.48 0.175 5.32
93 0.02336 0.158 0.135 0.179 0.537 2.03 5.33 0.175 5.17
94 0.02333 0.157 0.135 0.178 0.524 1.97 5.19 0.174 5.03
95 0.0233 0.157 0.134 0.176 0.512 1.92 5.05 0.174 4.9
96 0.02329 0.156 0.134 0.175 0.501 1.87 4.92 0.173 4.77
97 0.02327 0.156 0.134 0.174 0.49 1.82 4.79 0.172 4.65
98 0.02326 0.155 0.133 0.173 0.479 1.77 4.67 0.172 4.53
99 0.02325 0.155 0.133 0.172 0.468 1.72 4.55 0.171 4.41
100 0.02325 0.154 0.133 0.17 0.458 1.68 4.44 0.171 4.3
101 0.02325 0.154 0.132 0.169 0.449 1.63 4.33 0.17 4.19
102 0.02326 0.153 0.132 0.168 0.44 1.59 4.22 0.17 4.09
103 0.02327 0.153 0.132 0.167 0.431 1.55 4.12 0.169 3.99
104 0.02328 0.152 0.131 0.166 0.422 1.51 4.02 0.169 3.89
105 0.02329 0.152 0.131 0.165 0.414 1.48 3.92 0.168 3.8
106 0.02331 0.151 0.131 0.164 0.406 1.44 3.83 0.168 3.71
107 0.02333 0.151 0.131 0.163 0.398 1.41 3.74 0.167 3.62
108 0.02335 0.15 0.13 0.163 0.391 1.37 3.65 0.167 3.53
109 0.02337 0.15 0.13 0.162 0.384 1.34 3.56 0.166 3.45
110 0.0234 0.149 0.13 0.161 0.377 1.31 3.48 0.166 3.37
111 0.02343 0.149 0.129 0.16 0.37 1.28 3.4 0.165 3.29
112 0.02346 0.149 0.129 0.159 0.364 1.25 3.32 0.165 3.22
113 0.02349 0.148 0.129 0.158 0.358 1.22 3.25 0.164 3.15
114 0.02352 0.148 0.128 0.158 0.352 1.19 3.18 0.164 3.08
115 0.02356 0.147 0.128 0.157 0.346 1.17 3.11 0.163 3.01
116 0.02359 0.147 0.128 0.156 0.34 1.14 3.04 0.163 2.94
117 0.02363 0.147 0.128 0.155 0.335 1.12 2.97 0.163 2.88
